class,model,eo_test_count,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score
BaseSettings,mpt,2.67,92.75,13.33,13.33
BaseSettings,nous,4,98.55,37.78,37.78
BaseSettings,ocra,2.33,85.51,20,22.96
BaseSettings,vicuna,0,0,0,0
BaseSettings,wizlm,0.33,21.74,2.22,3.33
CacheHandler,mpt,5.67,0,0,0
CacheHandler,nous,4.33,45.45,0,0
CacheHandler,ocra,1.33,38.38,0,0
CacheHandler,vicuna,8.67,0,0,0
CacheHandler,wizlm,1,24.24,0,0
NPMInstaller,mpt,1,6.14,0,0
NPMInstaller,nous,0.67,19.3,12.12,52.38
NPMInstaller,ocra,0.33,2.05,0,0
NPMInstaller,vicuna,1,6.14,0,0
NPMInstaller,wizlm,1,6.14,0,0
NodeInstaller,mpt,1,25.97,27.59,62.58
NodeInstaller,nous,2.33,40.51,45.98,100
NodeInstaller,ocra,0.67,14.18,12.07,40.1
NodeInstaller,vicuna,0,0,0,0
NodeInstaller,wizlm,1.33,11.97,12.07,30.43
Parallel,mpt,0.33,21.14,7.69,8.7
Parallel,nous,4,94.31,60.26,62.5
Parallel,ocra,0,0,0,0
Parallel,vicuna,1.67,82.93,33.33,35.41
Parallel,wizlm,2.67,86.18,51.28,54.51
PnpmInstaller,mpt,1.67,19.21,8.94,22.92
PnpmInstaller,nous,0.67,25.99,14.63,40
PnpmInstaller,ocra,1.67,11.02,0,0
PnpmInstaller,vicuna,1.33,3.67,1.63,33.33
PnpmInstaller,wizlm,0.67,10.17,4.07,38.33
PropertiesProviderUtils,mpt,3.33,38.09,15.55,50
PropertiesProviderUtils,nous,2,40.47,11.11,27.78
PropertiesProviderUtils,ocra,1.67,25,6.67,33.33
PropertiesProviderUtils,vicuna,0,0,0,0
PropertiesProviderUtils,wizlm,4.67,47.62,8.89,25
ResolutionCache,mpt,1,18.92,0,0
ResolutionCache,nous,2,18.92,0,0
ResolutionCache,ocra,0.33,6.31,0,0
ResolutionCache,vicuna,2,18.92,0,0
ResolutionCache,wizlm,1.33,18.92,0,0
SeekableByteArrayOutputStream,mpt,0.33,12.5,0,0
SeekableByteArrayOutputStream,nous,4.67,66.67,60.42,73.68
SeekableByteArrayOutputStream,ocra,0.67,18.75,14.58,44.44
SeekableByteArrayOutputStream,vicuna,1,31.25,31.25,100
SeekableByteArrayOutputStream,wizlm,2,43.75,25,58.59
ZerocodeCorrelationshipLogger,mpt,1,36.21,6.35,16.93
ZerocodeCorrelationshipLogger,nous,7,83.91,25.4,31.56
ZerocodeCorrelationshipLogger,ocra,0.33,1.15,1.59,16.67
ZerocodeCorrelationshipLogger,vicuna,0,0,0,0
ZerocodeCorrelationshipLogger,wizlm,4.33,52.87,28.57,45.63
NodeInstaller,EvoSuite,1,53.04,56.9,100
NPMInstaller,EvoSuite,1,46.49,34.09,71.43
PnpmInstaller,EvoSuite,1,41.53,29.27,70.59
CacheHandler,EvoSuite,1,51.52,27.78,71.43
ResolutionCache,EvoSuite,1,18.92,0,0
BaseSettings,EvoSuite,1,100,53.33,53.33
Parallel,EvoSuite,1,100,100,100
SeekableByteArrayOutputStream,EvoSuite,1,100,93.75,93.75
ZerocodeCorrelationshipLogger,EvoSuite,1,91.38,52.38,55
PropertiesProviderUtils,EvoSuite,1,57.14,26.67,66.67
